x,y,col,bmi,steps,logo,rnorm,index,group
77,339,#555555ff,25.478181818181817,12196.601941747573,FALSE,14.916911035009697,194132.22803622263,M
169,247,#555555ff,22.634545454545453,8847.087378640776,FALSE,-13.906548533209302,-114185.36262997062,F
148,313,#555555ff,24.674545454545452,9611.650485436894,FALSE,-12.746471029843313,-112902.97397616389,F
132,491,#555555ff,30.176363636363636,10194.174757281553,FALSE,5.786843028649182,69186.26388428778,M
218,6,#555555ff,15.185454545454546,7063.1067961165045,FALSE,3.2201717053871097,29807.52345309827,M
145,472,#555555ff,29.589090909090906,9720.873786407767,FALSE,-8.8788399466108,-76589.20870431128,F
90,442,#555555ff,28.66181818181818,11723.300970873786,FALSE,8.022025661892606,105767.9222013138,M
307,469,#555555ff,29.49636363636364,3822.8155339805817,FALSE,5.748698948836114,25799.03117576912,M
262,237,#555555ff,22.325454545454544,5461.165048543689,FALSE,6.7481628830242615,42313.9963271956,M
270,57,#555555ff,16.76181818181818,5169.902912621359,FALSE,-5.781915373902771,-24722.03821944879,F
407,320,#555555ff,24.89090909090909,182.038834951456,FALSE,4.09739550201481,927.9239384735682,F
243,432,#555555ff,28.35272727272727,6152.912621359223,FALSE,1.2501722372488946,13845.113158800841,M
156,316,#555555ff,24.767272727272726,9320.388349514564,FALSE,-3.7376122153386304,-25515.608997330924,F
160,263,#555555ff,23.12909090909091,9174.757281553397,FALSE,-15.480720239361826,-132857.09345822257,F
283,273,#555555ff,23.438181818181818,4696.601941747573,FALSE,2.26162057813895,15318.533540531233,M
45,219,#555555ff,21.76909090909091,13361.650485436894,FALSE,-24.624853363294847,-315667.03341004404,F
161,459,#555555ff,29.187272727272727,9138.349514563106,FALSE,-6.151454298674191,-47075.78988958332,F
268,178,#555555ff,20.50181818181818,5242.718446601943,FALSE,-14.437252876069023,-70447.73352502208,F
150,309,#555555ff,24.55090909090909,9538.83495145631,FALSE,9.489827575474068,100060.73391168225,M
368,541,#555555ff,31.721818181818183,1601.941747572815,FALSE,-3.7650741569936,-4429.487727222756,F
273,95,#555555ff,17.936363636363637,5060.679611650485,FALSE,-3.4668668276787953,-12484.02265949099,F
263,253,#555555ff,22.82,5424.757281553399,FALSE,4.807099397145922,31502.104739371694,M
248,308,#555555ff,24.520000000000003,5970.873786407767,FALSE,-12.400738818987149,-68072.3725599718,F
224,444,#555555ff,28.723636363636363,6844.660194174758,FALSE,2.234643531439843,22140.035821991158,M
271,169,#555555ff,20.223636363636363,5133.495145631068,FALSE,7.793421939773847,45140.98884131477,M
314,53,#555555ff,16.638181818181817,3567.961165048544,FALSE,-3.501852744643989,-8926.513433559865,F
101,464,#555555ff,29.341818181818184,11322.815533980582,FALSE,-7.4656311131856,-73209.14840536607,F
263,260,#555555ff,23.03636363636364,5424.757281553399,FALSE,9.986387484257403,59598.48550319247,M
284,444,#555555ff,28.723636363636363,4660.194174757282,FALSE,-12.733384366489215,-54679.8494749012,F
66,267,#555555ff,23.252727272727274,12597.087378640776,FALSE,18.72434431808871,248469.2888613602,M
175,422,#555555ff,28.043636363636363,8628.640776699029,FALSE,9.841572094538915,93548.03105846078,M
167,465,#555555ff,29.372727272727275,8919.902912621359,FALSE,0.4100840258059573,12577.81260882741,M
258,227,#555555ff,22.016363636363636,5606.796116504855,FALSE,-9.262876386460746,-46328.26323476778,F
210,454,#555555ff,29.03272727272727,7354.368932038835,FALSE,9.350470850843934,76121.18125742019,M
284,51,#555555ff,16.576363636363638,4660.194174757282,FALSE,-12.415218705709423,-53197.13571592741,F
135,482,#555555ff,29.89818181818182,10084.951456310679,FALSE,-0.5018235412242765,5024.085403429929,F
109,430,#555555ff,28.29090909090909,11031.553398058251,FALSE,3.048594175980214,44662.282839393374,M
245,382,#555555ff,26.80727272727273,6080.097087378641,FALSE,-14.084821535356223,-79556.9853059887,F
254,57,#555555ff,16.76181818181818,5752.42718446602,FALSE,6.844602888870725,45125.50690928063,M
327,361,#555555ff,26.158181818181816,3094.6601941747576,FALSE,0.7076068028915763,5284.462800210583,F
343,411,#555555ff,27.703636363636363,2512.135922330097,FALSE,-6.504631378962359,-13828.382226276799,F
399,512,#555555ff,30.825454545454548,473.30097087378635,FALSE,-8.729147584663794,-3658.2130558481545,F
200,77,#555555ff,17.38,7718.446601941748,FALSE,3.471728251874045,34514.79573048413,M
35,97,#555555ff,17.99818181818182,13725.728155339806,FALSE,1.3815463265512264,32688.457467590255,M
47,59,#555555ff,16.823636363636364,13288.83495145631,FALSE,-14.555885289997887,-180141.9222396564,F
225,176,#555555ff,20.44,6808.252427184466,FALSE,-30.036957335003844,-197690.93525409172,F
99,431,#555555ff,28.32181818181818,11395.631067961165,FALSE,0.7238288992303541,19644.11815991872,M
301,55,#555555ff,16.7,4041.2621359223303,FALSE,-5.709297660588998,-19031.50632252593,F
146,486,#555555ff,30.021818181818183,9684.466019417476,FALSE,14.018433763944465,145445.51145179226,M
249,42,#555555ff,16.298181818181817,5934.466019417476,FALSE,-3.2496593087822614,-13350.526723234536,F
383,283,#555555ff,23.747272727272726,1055.825242718447,FALSE,-13.155193172394759,-12833.759781533307,F
219,453,#555555ff,29.00181818181818,7026.699029126214,FALSE,-8.133400988126091,-50124.261797633575,F
19,74,#555555ff,17.28727272727273,14308.252427184467,FALSE,1.5059599962150272,35855.90819827084,M
396,500,#555555ff,30.454545454545453,582.5242718446607,FALSE,-10.512921715807753,-5541.507795616171,F
269,113,#555555ff,18.492727272727272,5206.31067961165,FALSE,-1.243215070751111,-1266.253220294012,F
265,82,#555555ff,17.534545454545455,5351.941747572815,FALSE,-1.626844436564709,-3354.8349092844255,F
172,488,#555555ff,30.083636363636366,8737.864077669903,FALSE,-6.456699907694303,-47679.90210606673,F
13,70,#555555ff,17.163636363636364,14526.699029126214,FALSE,-10.564991853129458,-138947.75786645582,F
359,538,#555555ff,31.62909090909091,1929.6116504854363,FALSE,-2.4658472968501295,-2828.5160218345936,F
70,55,#555555ff,16.7,12451.456310679612,FALSE,15.289777547734563,202831.45344630658,M
59,81,#555555ff,17.503636363636364,12851.941747572815,FALSE,8.471027843643201,121721.0981361426,M
179,482,#555555ff,29.89818181818182,8483.009708737864,FALSE,-14.279802749445585,-112652.69565367067,F
273,430,#555555ff,28.29090909090909,5060.679611650485,FALSE,-7.350757296550039,-32139.147969191337,F
215,329,#555555ff,25.169090909090908,7172.330097087379,FALSE,5.715616287841848,48166.616821778305,M
171,27,#555555ff,15.834545454545454,8774.271844660194,FALSE,-17.77100960668495,-147153.39739846138,F
311,68,#555555ff,17.10181818181818,3677.1844660194183,FALSE,17.263824773379653,67159.45274677228,M
40,84,#555555ff,17.596363636363638,13543.68932038835,FALSE,14.081694718522362,204261.7876926087,M
339,389,#555555ff,27.023636363636363,2657.766990291262,FALSE,-2.4458192054367114,-3842.6505581388324,F
322,274,#555555ff,23.46909090909091,3276.6990291262136,FALSE,-0.9154417444291761,277.0719539335248,F
258,381,#555555ff,26.776363636363637,5606.796116504855,FALSE,-7.90480837611709,-38713.852788423494,F
286,446,#555555ff,28.785454545454545,4587.378640776698,FALSE,-6.470319417209229,-25094.42645273165,F
246,490,#555555ff,30.145454545454545,6043.68932038835,FALSE,7.294734816762841,50130.800227522996,M
